ward_id,Total Pop (Race),White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or other Pacific Islander,Other Race,Two or More Races,Hispanic or Latino (Total),Not Hispanic or Latino,Hispanic or Latino,Total Pop (Rent),Voting-Age Pop (Total),18 to 29,30 to 44,45 to 64,65+,Total Rent Burden,Proportion Rent Burdened,Proportion White,Proportion Non-White,Proportion Voting Pop 18-29,Proportion Voting Pop 30-44,Proportion Voting Pop 45-64,Proportion Voting Pop 65+,votes_total,votes_johnson,votes_vallas,proportion_johnson,proportion_vallas,winner
24,44442.0,4688.0,30732.0,73.0,142.0,10.0,6947.0,1850.0,44442.0,33593.0,10849.0,11201.0,29833.0,8408.0,8375.0,8731.0,4319.0,6200.0,0.5535220069636639,0.10548580171909455,0.8945141982809055,0.2818355512352093,0.28072939362450977,0.29266248784902626,0.14477256729125465,6931.0,5816.0,1115.0,0.8391285528783725,0.16087144712162746,Johnson
25,54206.0,24783.0,3431.0,494.0,8855.0,9.0,10694.0,5940.0,54206.0,30515.0,23691.0,14906.0,36635.0,12295.0,11673.0,7957.0,4710.0,5843.0,0.39198980276398765,0.4572003099287902,0.5427996900712098,0.33560802511259724,0.3186297256721714,0.21719666985123515,0.12856557936399618,8323.0,5168.0,3155.0,0.6209299531418959,0.379070046858104,Johnson
26,48229.0,26793.0,5509.0,204.0,1092.0,0.0,8688.0,5943.0,48229.0,21700.0,26529.0,11339.0,32735.0,9507.0,12070.0,7817.0,3341.0,4851.0,0.4278155040126995,0.5555371249663066,0.4444628750336934,0.29042309454712084,0.3687184970215366,0.2387963952955552,0.10206201313578739,9587.0,6274.0,3313.0,0.6544278710754147,0.3455721289245854,Johnson
27,62154.0,25136.0,25958.0,193.0,3449.0,7.0,4122.0,3289.0,62154.0,53509.0,8645.0,18721.0,47478.0,12618.0,17003.0,12231.0,5626.0,7975.0,0.4259922012712996,0.40441484055732535,0.5955851594426746,0.26576519651206876,0.35812376258477613,0.2576140528244661,0.11849698807868908,11463.0,6800.0,4663.0,0.5932129460001745,0.4067870539998255,Johnson
28,56141.0,7232.0,41147.0,93.0,3169.0,0.0,2347.0,2153.0,56141.0,51292.0,4849.0,14438.0,39283.0,11400.0,10139.0,11491.0,6253.0,8645.0,0.5987671422634714,0.12881851053597193,0.8711814894640281,0.2902018684927322,0.25810146882875545,0.29251839217982334,0.159178270498689,7351.0,5494.0,1857.0,0.7473813086654877,0.2526186913345123,Johnson
29,88200.0,29507.0,39379.0,135.0,1812.0,11.0,11432.0,5924.0,88200.0,65020.0,23180.0,17084.0,61482.0,12401.0,15460.0,20550.0,13071.0,9534.0,0.5580660266916413,0.33454648526077096,0.6654535147392291,0.2017013109527992,0.2514557106144888,0.33424416902508053,0.2125988094076315,10975.0,7304.0,3671.0,0.6655125284738042,0.3344874715261959,Johnson
30,57052.0,31650.0,1607.0,223.0,1489.0,40.0,14993.0,7050.0,57052.0,20432.0,36620.0,8645.0,33970.0,8622.0,10864.0,9310.0,5174.0,3740.0,0.43262001156738,0.5547570637313328,0.4452429362686672,0.2538121872240212,0.31981159846923757,0.27406535178098324,0.152310862525758,11378.0,4955.0,6423.0,0.435489541219898,0.564510458780102,Vallas
31,49883.0,24048.0,1829.0,600.0,1408.0,13.0,14405.0,7580.0,49883.0,12922.0,36961.0,8828.0,28732.0,7953.0,8024.0,8489.0,4266.0,4155.0,0.4706615314907114,0.4820880861215244,0.5179119138784756,0.27679938744257276,0.27927049979117363,0.29545454545454547,0.1484755673117082,6896.0,3162.0,3734.0,0.45852668213457076,0.5414733178654292,Vallas
32,62212.0,48246.0,2914.0,128.0,4177.0,59.0,1644.0,5044.0,62212.0,52963.0,9249.0,13276.0,47717.0,13088.0,20446.0,10140.0,4043.0,3861.0,0.290825549864417,0.775509547997171,0.22449045200282902,0.27428379822704696,0.4284846071630656,0.21250288157260516,0.08472871303728231,18453.0,7660.0,10793.0,0.4151086544193356,0.5848913455806644,Vallas
33,58226.0,33922.0,2053.0,192.0,4464.0,89.0,10402.0,7104.0,58226.0,30953.0,27273.0,12297.0,36717.0,10225.0,12897.0,9294.0,4301.0,4590.0,0.37326177116369846,0.582591969223371,0.417408030776629,0.2784813574093744,0.35125418743361386,0.2531252553313179,0.11713919982569382,11500.0,7161.0,4339.0,0.6226956521739131,0.37730434782608696,Johnson
